year,solar_capex,solar_opex,wind_onshore_capex,wind_onshore_opex,wind_offshore_capex,wind_offshore_opex,bess_capex_per_mwh,bess_opex_per_mwh,co2_intensity_g_kwh,ren_share,epex_spot_mean,solar_cf_ref,wind_onshore_cf_ref,wind_offshore_cf_ref
2023,700000.0,12600.0,1500000.0,37500.0,3000000.0,90000.0,200000.0,4000.0,46.0,0.29,96.0,0.148,0.28,0.4
2024,680672.0,12252.0,1485075.0,37127.0,2934721.0,88042.0,193121.0,3862.0,43.98,0.3197,65.0,0.148,0.28,0.4
2025,661877.0,11914.0,1470298.0,36757.0,2870862.0,86126.0,186479.0,3730.0,42.04,0.3477,66.3,0.148,0.28,0.4
2026,643602.0,11585.0,1455668.0,36392.0,2808393.0,84252.0,180065.0,3601.0,40.19,0.374,67.63,0.148,0.28,0.4
2027,625831.0,11265.0,1441184.0,36030.0,2747283.0,82418.0,173872.0,3477.0,38.42,0.3988,68.98,0.148,0.28,0.4
2028,608551.0,10954.0,1426844.0,35671.0,2687502.0,80625.0,167891.0,3358.0,36.73,0.4222,70.36,0.148,0.28,0.4
2029,591748.0,10651.0,1412647.0,35316.0,2629023.0,78871.0,162117.0,3242.0,35.12,0.4442,71.77,0.148,0.28,0.4
2030,575409.0,10357.0,1398591.0,34965.0,2571816.0,77154.0,156541.0,3131.0,33.57,0.4649,73.2,0.148,0.28,0.4
2031,559521.0,10071.0,1384675.0,34617.0,2515854.0,75476.0,151157.0,3023.0,32.09,0.4844,74.66,0.148,0.28,0.4
2032,544071.0,9793.0,1370897.0,34272.0,2461110.0,73833.0,145958.0,2919.0,30.68,0.5028,76.16,0.148,0.28,0.4
2033,529049.0,9523.0,1357256.0,33931.0,2407556.0,72227.0,140938.0,2819.0,29.33,0.5201,77.68,0.148,0.28,0.4
2034,514441.0,9260.0,1343751.0,33594.0,2355169.0,70655.0,136090.0,2722.0,28.04,0.5364,79.23,0.148,0.28,0.4
2035,500236.0,9004.0,1330381.0,33260.0,2303921.0,69118.0,131409.0,2628.0,26.81,0.5518,80.82,0.148,0.28,0.4
2036,486424.0,8756.0,1317143.0,32929.0,2253788.0,67614.0,126890.0,2538.0,25.63,0.5662,82.44,0.148,0.28,0.4
2037,472993.0,8514.0,1304037.0,32601.0,2204746.0,66142.0,122525.0,2451.0,24.5,0.5798,84.08,0.148,0.28,0.4
2038,459933.0,8279.0,1291062.0,32277.0,2156771.0,64703.0,118311.0,2366.0,23.42,0.5926,85.77,0.148,0.28,0.4
2039,447233.0,8050.0,1278216.0,31955.0,2109840.0,63295.0,114242.0,2285.0,22.39,0.6047,87.48,0.148,0.28,0.4
2040,434884.0,7828.0,1265497.0,31637.0,2063931.0,61918.0,110313.0,2206.0,21.41,0.6161,89.23,0.148,0.28,0.4
2041,422877.0,7612.0,1252905.0,31323.0,2019020.0,60571.0,106518.0,2130.0,20.46,0.6268,91.02,0.148,0.28,0.4
2042,411200.0,7402.0,1240439.0,31011.0,1975087.0,59253.0,102855.0,2057.0,19.56,0.6369,92.84,0.148,0.28,0.4
2043,399846.0,7197.0,1228096.0,30702.0,1932109.0,57963.0,99317.0,1986.0,18.7,0.6464,94.69,0.148,0.28,0.4
2044,388806.0,6999.0,1215876.0,30397.0,1890067.0,56702.0,95901.0,1918.0,17.88,0.6553,96.59,0.148,0.28,0.4
2045,378070.0,6805.0,1203778.0,30094.0,1848940.0,55468.0,92603.0,1852.0,17.09,0.6638,98.52,0.148,0.28,0.4
2046,367631.0,6617.0,1191800.0,29795.0,1808707.0,54261.0,89418.0,1788.0,16.34,0.6717,100.49,0.148,0.28,0.4
2047,357480.0,6435.0,1179942.0,29499.0,1769350.0,53081.0,86342.0,1727.0,15.62,0.6792,102.5,0.148,0.28,0.4
2048,347610.0,6257.0,1168201.0,29205.0,1730849.0,51925.0,83372.0,1667.0,14.93,0.6862,104.55,0.148,0.28,0.4
2049,338012.0,6084.0,1156577.0,28914.0,1693187.0,50796.0,80505.0,1610.0,14.28,0.6928,106.64,0.148,0.28,0.4
2050,328679.0,5916.0,1145069.0,28627.0,1656343.0,49690.0,77736.0,1555.0,13.65,0.6991,108.77,0.148,0.28,0.4
